time,seconds_elapsed,z,y,x,seconds_elapsed,z,y,x,seconds_elapsed,z,y,x,seconds_elapsed,z,y,x,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
2025-05-02 13:51:28.100,5.032423319868606,0.6728516172674145,-0.295970199328996,-2.155702324838205,5.032423319868606,-0.703411126420737,-0.017851405726237477,-0.07710968848941473,5.032423319868606,41.41769433188274,-30.32570329145953,-18.2155144378022,5.032423319868606,9.748930678649662,1.0555574701086716,-0.14161720138967654,5.032423319868606,1.0123492149764854,-0.483742230616703,-0.05065828057406958,-3.127067581506433,0.019771370916066774,0.8734439152046934,-0.10784626192909319
2025-05-02 13:51:28.150,5.081331227805396,0.4059529604358721,-0.15538811236024852,-1.2542531277124929,5.081331227805396,-0.3565885815076486,-0.029034572998908312,-0.04451922894146146,5.081331227805396,41.44960081513947,-30.80454356800427,-17.871291501772163,5.081331227805396,9.747864361240598,1.0251584390058257,-0.25218511306022495,5.081331227805396,1.033630521780932,-0.4926880253249282,-0.052059867790289045,-3.1157372196597515,0.01466310626693615,0.8682078434764491,-0.1047305273662575
2025-05-02 13:51:28.200,5.130413688151041,0.19080575129249266,-0.04204927296635974,-0.5373833012245353,5.130413688151041,-0.0902331664449687,-0.033890294014955996,-0.019049445859912063,5.130413688151041,41.475143467474105,-31.190475667317713,-17.607202911732642,5.130413688151041,9.747035727531529,1.0012401974710576,-0.3396272377000246,5.130413688151041,1.0504313084046653,-0.49975139533970514,-0.053171258487073,-3.1067765747852354,0.010624871202881844,0.8640774713941969,-0.10227902251746217
2025-05-02 13:51:28.250,5.179670700905539,0.027409989837276272,0.04404631885267046,-0.005092845374332189,5.179670700905539,0.0956551187673027,-0.03241856877438053,-0.0007003392447665485,5.179670700905539,41.49432228888666,-31.483499589399862,-17.42324866768364,5.179670700905539,9.746444777522457,0.9838027455043679,-0.4039435753090755,5.179670700905539,1.062751574847685,-0.5049323406610338,-0.05399245266442143,-3.1001856468828843,0.0076566657239038535,0.8610527989579366,-0.1004917473827072
2025-05-02 13:51:28.300,5.2291022660688915,-0.08423432392977726,0.10289866309684192,0.34261823983811635,5.2291022660688915,0.2010762741291654,-0.024619397277181907,0.01052809090397512,5.2291022660688915,41.50713727937712,-31.683615334250714,-17.31942876962516,5.2291022660688915,9.746091511213383,0.9728460831057562,-0.4451341258873775,5.2291022660688915,1.0705913211099913,-0.5082308612889141,-0.05452345032233435,-3.095964435952699,0.005758489830002178,0.8591338261676684,-0.09936870196199261
2025-05-02 13:51:28.350,5.278708383641112,-0.14412719000866817,0.13450775976615542,0.5057499544128121,5.278708383641112,0.22603029964061946,-0.01049277952336002,0.01463584458631292,5.278708383641112,41.5135884389456,-31.790822901870342,-17.295743217557224,5.278708383641112,9.745975928604324,0.9683702102752242,-0.4631988894349314,5.278708383641112,1.073950547191586,-0.5096469572233473,-0.05476425146081186,-3.0941129419946845,0.004930343521176816,0.8583205530233944,-0.09890988625531859
2025-05-02 13:51:28.400,5.329047649989997,-0.03347225823917318,-0.052418822932858135,0.0018795130707006031,5.329047649989997,0.31377737909242903,-0.08084628934296852,0.031638832989481024,5.329047649989997,41.39542276875966,-31.57418296831757,-17.687742596962,5.329047649989997,9.745837738364452,0.9886143908098978,-0.42493083930245973,5.329047649989997,1.0594781787939413,-0.5034790997607043,-0.054707525528176884,-3.098030986013478,0.006737869873524334,0.8619318216998851,-0.10098502903470734
2025-05-02 13:51:28.450,5.37896788998763,0.1927859564270109,-0.12547187840238652,-0.5328945030906999,5.37896788998763,0.17789383328830252,-0.08458287639322001,0.02041897815142032,5.37896788998763,41.35194433252305,-31.35011472902106,-17.957500367064622,5.37896788998763,9.745559614946712,1.0107195108234708,-0.3669458901076465,5.37896788998763,1.0465314096508345,-0.49799896892657536,-0.0542657670859377,-3.1039707637527783,0.009532309937663769,0.8651037703873856,-0.10325078887415874
2025-05-02 13:51:28.500,5.428888076262943,0.21173965041428236,-0.08793366600573384,-0.6459833393011002,5.428888076262943,-0.06916982049257066,-0.02667831639848255,-0.015360311435487817,5.428888076262943,41.38111871039127,-31.301398729444458,-18.020168249312583,5.428888076262943,9.746101490991341,1.0150791494886613,-0.33710676386155003,5.428888076262943,1.0436647593662334,-0.49682752430449295,-0.05371607355764293,-3.1070295323380943,0.010894506311516217,0.8657895781890698,-0.10369763235332166
2025-05-02 13:51:28.550,5.478808420632116,0.09267395278529575,0.0427477276316543,-0.40720412441085224,5.478808420632116,-0.28353769570515325,0.06118980405943396,-0.03376491555134341,5.478808420632116,41.46980289201369,-31.520651479867865,-17.84842493017241,5.478808420632116,9.746760330819862,1.0019879346211467,-0.3530838764771794,5.478808420632116,1.0529825264060868,-0.500831154960378,-0.053513732657951445,-3.1053957674681154,0.010109677006342407,0.8634777614701642,-0.10235555433652065
2025-05-02 13:51:28.600,5.528728782529333,-0.04313718434783834,0.20622345970663417,0.20328123236149942,5.528728782529333,-0.2947120267741546,0.11331146921971215,-0.035236581035245,5.528728782529333,41.55018627815879,-31.84904194722928,-17.55902898472788,5.528728782529333,9.746440476626764,0.9808384244427459,-0.4149381290551862,5.528728782529333,1.0685536281541899,-0.5074159363122835,-0.054110630733292614,-3.0990580294407963,0.0072555385325286485,0.8596205592399225,-0.10018744207200184
